"Date","Sensex","Tata Consultancy Services","Bharti Airtel","Axis Bank","Maruti Suzuki India","HCL Technologies","UltraTech Cement","Power Grid Corporation of India","NTPC","IndusInd Bank","Bajaj Auto","JSW Steel","Wipro","Adani Enterprises"
2021-10-06,59189.73046875,3369.87646484375,667.34716796875,774.212890625,6945.4794921875,1044.56762695312,7203.02392578125,110.704544067383,122.803657531738,1096.30932617188,3364.48315429688,606.798278808594,290.394714355469,1475.41516113281
2021-10-07,59677.828125,3443.02563476562,668.457153320312,772.175109863281,7225.779296875,1069.58227539062,7192.5126953125,111.117500305176,122.289649963379,1130.51159667969,3415.95874023438,613.656127929688,293.637542724609,1515.6552734375
2021-10-08,60059.05859375,3480.79345703125,671.2080078125,777.045959472656,7162.552734375,1082.51965332031,7173.3984375,110.704544067383,120.876136779785,1136.27648925781,3403.24584960938,613.057739257812,302.04150390625,1542.88073730469
2021-10-11,60135.78125,3260.72900390625,666.76806640625,782.413757324219,7425.056640625,1066.30700683594,7171.73681640625,114.126266479492,124.045822143555,1136.47021484375,3436.25439453125,618.948974609375,297.999389648438,1535.650390625
2021-10-12,60284.30859375,3231.89404296875,662.617553710938,792.2548828125,7420.2822265625,1023.27813720703,7090.8779296875,114.037796020508,123.874496459961,1145.57788085938,3549.01953125,620.099609375,301.013885498047,1549.76196289062
2021-10-13,60737.05078125,3233.79541015625,666.140686035156,789.471557617188,7219.0751953125,1036.37927246094,7185.3759765625,117.695472717285,125.373680114746,1146.98278808594,3542.86401367188,627.233520507812,307.179840087891,1564.27233886719
2021-10-14,61305.94921875,3200.34106445312,662.279724121094,797.225158691406,7225.10400390625,1024.26086425781,7238.66259765625,120.645233154297,128.029342651367,1172.27111816406,3537.421875,637.773254394531,323.165710449219,1641.95971679688
2021-10-18,61765.58984375,3232.3330078125,656.778076171875,808.408081054688,7380.92822265625,1000.06475830078,7232.9912109375,120.232292175293,127.986488342285,1182.58984375,3493.9306640625,659.083068847656,324.033508300781,1607.404296875
2021-10-19,61716.05078125,3220.98999023438,657.308898925781,796.578918457031,7381.94140625,1008.66217041016,7015.15185546875,117.105522155762,128.20068359375,1157.30151367188,3489.64868164062,636.392578125,325.038391113281,1565.46899414062
2021-10-20,61259.9609375,3197.28442382812,683.803955078125,800.05810546875,7323.392578125,1009.07171630859,6976.7763671875,114.627716064453,125.287986755371,1163.74475097656,3432.9091796875,630.869445800781,320.585174560547,1585.41442871094
2021-10-21,60923.5,3131.30590820312,672.173217773438,804.133728027344,7303.0400390625,1000.3212890625,6968.220703125,114.391738891602,126.573028564453,1147.56420898438,3392.5849609375,619.915466308594,317.753387451172,1591.49780273438
2021-10-22,60821.62109375,3101.7509765625,670.291015625,812.036376953125,7148.32568359375,985.792053222656,6994.42431640625,114.657241821289,124.131469726562,1158.65795898438,3448.43212890625,614.806701660156,311.610198974609,1538.39294433594
2021-10-25,60967.05078125,3095.060546875,666.719787597656,840.018737792969,7005.8125,962.512573242188,6987.87353515625,113.742820739746,123.231986999512,1140.63659667969,3358.77294921875,620.237670898438,305.101684570312,1530.21545410156
2021-10-26,61350.26171875,3086.68603515625,671.931884765625,837.235412597656,7037.5458984375,963.461730957031,7105.005859375,112.267906188965,122.675163269043,1118.73950195312,3382.9052734375,638.509765625,305.193023681641,1539.83898925781
2021-10-27,61143.328125,3091.91479492188,678.109191894531,782.662292480469,7091.89892578125,971.469177246094,7196.130859375,112.238426208496,120.961814880371,1106.33752441406,3369.96948242188,630.455322265625,306.586090087891,1563.42456054688
2021-10-28,59984.69921875,3034.666015625,664.837585449219,753.288208007812,7112.05810546875,952.358520507812,7273.1279296875,109.760612487793,117.792137145996,1138.89233398438,3301.40942382812,615.497009277344,300.237426757812,1389.15112304688
2021-10-29,59306.9296875,3012.02294921875,662.376281738281,737.631958007812,7218.1591796875,944.681213378906,7462.80810546875,109.170669555664,113.680114746094,1104.59350585938,3309.97387695312,615.727233886719,295.258941650391,1419.61779785156
2021-11-01,60138.4609375,3081.58984375,687.52001953125,747.870666503906,7342.876953125,981.623107910156,7600.18017578125,110.67504119873,115.050788879395,1190.14721679688,3324.24780273438,633.999206542969,299.1640625,1442.05639648438
2021-11-02,60029.05859375,3087.30639648438,688.099182128906,751.399536132812,7515.86962890625,967.011535644531,7537.99609375,109.524627685547,117.063949584961,1174.49938964844,3338.87915039062,619.363220214844,298.182098388672,1468.43420410156
2021-11-03,59771.921875,3095.10546875,674.682739257812,746.230529785156,7461.51708984375,971.262878417969,7715.50439453125,108.462707519531,117.063949584961,1141.7021484375,3298.19775390625,626.12890625,297.953704833984,1482.14685058594
2021-11-04,60067.62109375,3109.72705078125,676.709655761719,748.516845703125,7469.95654296875,976.711242675781,7701.96240234375,109.200164794922,117.535140991211,1151.77880859375,3353.55419921875,624.656066894531,298.410400390625,1493.11657714844
2021-11-08,60545.609375,3104.0107421875,684.334899902344,746.329956054688,7414.10888671875,976.422546386719,8029.69921875,111.55997467041,120.147972106934,1028.43786621094,3373.18139648438,630.91552734375,300.739807128906,1563.07556152344
2021-11-09,60433.44921875,3105.69458007812,688.340515136719,740.564453125,7308.48974609375,969.322875976562,7982.57275390625,110.085083007812,118.60595703125,1035.12341308594,3385.18041992188,622.907104492188,300.602783203125,1631.18933105469
2021-11-10,60352.8203125,3087.837890625,710.106018066406,744.789123535156,7242.466796875,966.309997558594,7925.86328125,108.84619140625,117.749305725098,1000.14617919922,3359.57641601562,609.375671386719,298.159240722656,1650.73571777344
2021-11-11,59919.69140625,3091.16162109375,703.252990722656,734.450988769531,7188.88525390625,958.673950195312,7867.93359375,107.489311218262,117.063949584961,1000.96966552734,3346.64038085938,613.886108398438,292.564208984375,1659.91064453125
2021-11-12,60686.69140625,3123.4189453125,717.441589355469,731.816833496094,7212.51611328125,968.125915527344,7904.255859375,107.371315002441,116.721290588379,1004.50616455078,3244.93774414062,617.568176269531,301.424926757812,1700.30004882812
2021-11-15,60718.7109375,3149.47314453125,711.939880371094,728.884338378906,7235.18408203125,966.763916015625,7867.4931640625,111.088020324707,117.406623840332,1008.52716064453,3216.12182617188,608.915405273438,300.991027832031,1745.02783203125
2021-11-16,60322.37109375,3150.5810546875,704.604248046875,722.025451660156,7764.33935546875,959.994567871094,7707.53515625,110.468551635742,114.965118408203,989.924255371094,3220.49340820312,611.815063476562,302.132843017578,1706.63293457031
2021-11-17,60008.328125,3122.93188476562,694.807312011719,707.910095214844,7979.7724609375,952.152099609375,7685.927734375,112.769378662109,116.892623901367,1001.89013671875,3197.25341796875,610.112060546875,302.110015869141,1700.05065917969
2021-11-18,59636.01171875,3080.1279296875,689.353942871094,702.6416015625,7825.2509765625,924.744995117188,7597.3447265625,113.477310180664,115.864631652832,976.698791503906,3167.81323242188,598.973937988281,297.291473388672,1684.19421386719
2021-11-22,58465.890625,3067.36669921875,716.235107421875,682.114501953125,7585.607421875,916.242126464844,7479.283203125,114.598220825195,111.538429260254,975.390747070312,3072.4892578125,605.04931640625,294.048614501953,1670.98059082031
2021-11-23,58664.328125,3069.53784179688,733.078002929688,681.7666015625,7572.05419921875,919.048950195312,7486.6162109375,119.081855773926,114.365455627441,950.102416992188,3064.46020507812,628.292114257812,293.523345947266,1702.79345703125
2021-11-24,58340.98828125,3051.68115234375,732.354125976562,681.070861816406,7392.88818359375,924.373474121094,7412.21044921875,119.819305419922,115.993125915527,941.237060546875,3046.17163085938,628.79833984375,290.760101318359,1749.86474609375
2021-11-25,58795.08984375,3053.40942382812,738.338500976562,675.951416015625,7301.6416015625,928.666015625,7440.66259765625,120.468246459961,115.821792602539,929.271179199219,3024.6708984375,626.405029296875,290.737213134766,1758.39135742188
2021-11-26,57107.1484375,3053.54223632812,711.795166015625,657.859741210938,6916.7353515625,914.46728515625,7226.0986328125,119.081855773926,110.210594177246,873.414184570312,2974.310546875,578.630676269531,283.612091064453,1664.99694824219
2021-11-29,57260.578125,3102.32739257812,713.966796875,646.974975585938,6893.3935546875,935.063720703125,7228.20068359375,117.960952758789,108.325927734375,867.74609375,2943.88916015625,576.19140625,287.928314208984,1663.80004882812
2021-11-30,57064.87109375,3130.06518554688,703.397827148438,653.138061523438,6834.9892578125,940.512451171875,7268.875,122.002136230469,109.054107666016,856.119262695312,2893.30541992188,560.036499023438,290.942749023438,1656.47009277344
